2026-07-20 12:50:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 12:30:00 (Monday) UTC
2026-07-20 12:50:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 12:30:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 12:55:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 12:30:00 (Monday) UTC
2026-07-20 12:55:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 12:30:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 13:00:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 12:45:00 (Monday) UTC
2026-07-20 13:00:20Z | INFO    | signal | [BTC/USDT] New bar 2026-07-20 12:45:00 (Monday) UTC processed: fast EMA still above slow EMA (fast=64604.68 slow=64477.55). No crossover.
2026-07-20 13:05:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 12:45:00 (Monday) UTC
2026-07-20 13:05:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 12:45:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 13:10:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 12:45:00 (Monday) UTC
2026-07-20 13:10:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 12:45:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 13:15:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 13:00:00 (Monday) UTC
2026-07-20 13:15:20Z | INFO    | signal | [BTC/USDT] New bar 2026-07-20 13:00:00 (Monday) UTC processed: fast EMA still above slow EMA (fast=64622.22 slow=64497.08). No crossover.
2026-07-20 13:20:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 13:00:00 (Monday) UTC
2026-07-20 13:20:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 13:00:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 13:25:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 13:00:00 (Monday) UTC
2026-07-20 13:25:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 13:00:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 13:30:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 13:15:00 (Monday) UTC
2026-07-20 13:30:20Z | INFO    | signal | [BTC/USDT] New bar 2026-07-20 13:15:00 (Monday) UTC processed: fast EMA still above slow EMA (fast=64608.73 slow=64502.33). No crossover.
2026-07-20 13:35:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 13:15:00 (Monday) UTC
2026-07-20 13:35:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 13:15:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 13:40:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 13:15:00 (Monday) UTC
2026-07-20 13:40:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 13:15:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 13:45:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 13:30:00 (Monday) UTC
2026-07-20 13:45:20Z | INFO    | signal | [BTC/USDT] New bar 2026-07-20 13:30:00 (Monday) UTC processed: fast EMA still above slow EMA (fast=64617.11 slow=64515.81). No crossover.
2026-07-20 13:50:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 13:30:00 (Monday) UTC
2026-07-20 13:50:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 13:30:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 13:55:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 13:30:00 (Monday) UTC
2026-07-20 13:55:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 13:30:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 14:00:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 13:45:00 (Monday) UTC
2026-07-20 14:00:20Z | INFO    | signal | [BTC/USDT] New bar 2026-07-20 13:45:00 (Monday) UTC processed: fast EMA still above slow EMA (fast=64562.49 slow=64500.21). No crossover.
2026-07-20 14:05:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 13:45:00 (Monday) UTC
